repetition,seed,dataset,model,training_mode,augmentation,acc_test,f1_macro_test,f1_weighted_test,num_params,gflops,best_epoch,val_acc_best,model_path
1,42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,0.9130434782608695,0.9123809523809524,0.9123809523809523,5861266,0.647596928,15,1.0,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_scratch_augTrue_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,0.9565217391304348,0.9565217391304348,0.9565217391304348,5861266,0.647596928,20,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_scratch_augTrue_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,True,0.9130434782608695,0.9123809523809524,0.9123809523809523,5861266,0.647596928,14,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_scratch_augTrue_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,0.8913043478260869,0.8912529550827423,0.8912529550827423,5861266,0.647596928,18,1.0,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_scratch_augFalse_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,0.8695652173913043,0.8695652173913043,0.8695652173913043,5861266,0.647596928,13,0.9210526315789473,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_scratch_augFalse_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,scratch,False,0.9130434782608695,0.9123809523809524,0.9123809523809523,5861266,0.647596928,18,0.9473684210526315,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_scratch_augFalse_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,0.41304347826086957,0.32019704433497537,0.32019704433497537,5861266,0.647596928,4,0.5,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_feature_extraction_augTrue_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,0.5652173913043478,0.5652173913043478,0.5652173913043478,5861266,0.647596928,10,0.5526315789473685,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_feature_extraction_augTrue_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,True,0.5434782608695652,0.5157894736842106,0.5157894736842106,5861266,0.647596928,4,0.7368421052631579,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_feature_extraction_augTrue_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,0.391304347826087,0.391304347826087,0.391304347826087,5861266,0.647596928,12,0.5,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_feature_extraction_augFalse_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,0.5652173913043478,0.5652173913043478,0.5652173913043478,5861266,0.647596928,11,0.5526315789473685,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_feature_extraction_augFalse_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,feature_extraction,False,0.5217391304347826,0.486815415821501,0.48681541582150106,5861266,0.647596928,4,0.7105263157894737,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_feature_extraction_augFalse_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,0.8478260869565217,0.8477541371158392,0.8477541371158392,5861266,0.647596928,6,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_fine_tuning_augTrue_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,0.9565217391304348,0.956439393939394,0.956439393939394,5861266,0.647596928,14,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_fine_tuning_augTrue_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,True,0.9347826086956522,0.9345040341718083,0.9345040341718083,5861266,0.647596928,6,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_fine_tuning_augTrue_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,0.6956521739130435,0.6950757575757576,0.6950757575757576,5861266,0.647596928,5,0.8947368421052632,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_fine_tuning_augFalse_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,0.8913043478260869,0.8912529550827423,0.8912529550827423,5861266,0.647596928,11,0.9473684210526315,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_fine_tuning_augFalse_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b0.in1k,fine_tuning,False,0.9347826086956522,0.9345040341718083,0.9345040341718083,5861266,0.647596928,6,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b0.in1k_fine_tuning_augFalse_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,0.8913043478260869,0.8912529550827423,0.8912529550827423,6862614,0.945369984,22,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_scratch_augTrue_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,0.8478260869565217,0.8460066953610712,0.8460066953610712,6862614,0.945369984,12,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_scratch_augTrue_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,True,0.8478260869565217,0.8477541371158392,0.8477541371158392,6862614,0.945369984,16,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_scratch_augTrue_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,0.8260869565217391,0.8257575757575758,0.8257575757575758,6862614,0.945369984,28,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_scratch_augFalse_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,0.8478260869565217,0.8471760797342193,0.8471760797342193,6862614,0.945369984,11,0.9473684210526315,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_scratch_augFalse_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,scratch,False,0.7391304347826086,0.7371428571428571,0.7371428571428573,6862614,0.945369984,12,0.9210526315789473,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_scratch_augFalse_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,0.43478260869565216,0.4337121212121212,0.43371212121212127,6862614,0.945369984,3,0.4473684210526316,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_feature_extraction_augTrue_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,0.6086956521739131,0.6079545454545454,0.6079545454545455,6862614,0.945369984,12,0.631578947368421,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_feature_extraction_augTrue_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,True,0.6739130434782609,0.6725201708590414,0.6725201708590413,6862614,0.945369984,15,0.8947368421052632,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_feature_extraction_augTrue_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,0.43478260869565216,0.43478260869565216,0.43478260869565216,6862614,0.945369984,3,0.47368421052631576,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_feature_extraction_augFalse_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,0.5,0.4997635933806146,0.49976359338061466,6862614,0.945369984,7,0.6578947368421053,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_feature_extraction_augFalse_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,feature_extraction,False,0.6304347826086957,0.6157248157248157,0.6157248157248157,6862614,0.945369984,10,0.868421052631579,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_feature_extraction_augFalse_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,0.9565217391304348,0.9565217391304348,0.9565217391304348,6862614,0.945369984,9,0.9473684210526315,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_fine_tuning_augTrue_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,0.9782608695652174,0.9782505910165484,0.9782505910165484,6862614,0.945369984,12,0.9473684210526315,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_fine_tuning_augTrue_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,True,0.9347826086956522,0.9347517730496454,0.9347517730496454,6862614,0.945369984,6,0.9736842105263158,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_fine_tuning_augTrue_seed2025.pth
1,42,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,0.8913043478260869,0.8912529550827423,0.8912529550827423,6862614,0.945369984,5,0.868421052631579,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_fine_tuning_augFalse_seed42.pth
2,123,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,0.9130434782608695,0.9130434782608695,0.9130434782608695,6862614,0.945369984,8,0.9210526315789473,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_fine_tuning_augFalse_seed123.pth
3,2025,OralEpitheliumDB,tf_efficientnetv2_b1.in1k,fine_tuning,False,0.9782608695652174,0.9782505910165484,0.9782505910165484,6862614,0.945369984,8,0.9473684210526315,/kaggle/working/checkpoints/OralEpitheliumDB_tf_efficientnetv2_b1.in1k_fine_tuning_augFalse_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,True,0.5384615384615384,0.4065315315315316,0.46907484407484407,5862547,0.647598208,6,0.5897435897435898,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_scratch_augTrue_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,True,0.48717948717948717,0.36634920634920637,0.42271062271062276,5862547,0.647598208,15,0.5384615384615384,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_scratch_augTrue_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,True,0.5384615384615384,0.41785714285714287,0.4821428571428572,5862547,0.647598208,10,0.5128205128205128,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_scratch_augTrue_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,False,0.48717948717948717,0.36581196581196584,0.4220907297830374,5862547,0.647598208,6,0.5641025641025641,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_scratch_augFalse_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,False,0.38461538461538464,0.2920634920634921,0.33699633699633696,5862547,0.647598208,26,0.5897435897435898,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_scratch_augFalse_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b0.in1k,scratch,False,0.4358974358974359,0.33270794246404006,0.38389377976620004,5862547,0.647598208,9,0.5384615384615384,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_scratch_augFalse_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,True,0.41025641025641024,0.38113222871994806,0.4073792922477133,5862547,0.647598208,5,0.6153846153846154,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_feature_extraction_augTrue_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,True,0.46153846153846156,0.45517241379310347,0.4509283819628648,5862547,0.647598208,2,0.46153846153846156,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_feature_extraction_augTrue_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,True,0.2564102564102564,0.21703521703521703,0.20846720846720848,5862547,0.647598208,4,0.358974358974359,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_feature_extraction_augTrue_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,False,0.46153846153846156,0.3962962962962963,0.4367521367521367,5862547,0.647598208,3,0.5897435897435898,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_feature_extraction_augFalse_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,False,0.4358974358974359,0.4317460317460317,0.43223443223443225,5862547,0.647598208,2,0.46153846153846156,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_feature_extraction_augFalse_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b0.in1k,feature_extraction,False,0.3333333333333333,0.33944566178449237,0.32477843918277555,5862547,0.647598208,18,0.4358974358974359,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_feature_extraction_augFalse_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,True,0.48717948717948717,0.4291666666666667,0.47596153846153844,5862547,0.647598208,4,0.5641025641025641,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_fine_tuning_augTrue_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,True,0.6666666666666666,0.6603174603174603,0.6695970695970695,5862547,0.647598208,8,0.48717948717948717,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_fine_tuning_augTrue_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,True,0.5641025641025641,0.5571895424836603,0.5659879336349924,5862547,0.647598208,5,0.5128205128205128,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_fine_tuning_augTrue_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,False,0.5128205128205128,0.45058342041100663,0.5006731773973154,5862547,0.647598208,5,0.6410256410256411,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_fine_tuning_augFalse_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,False,0.48717948717948717,0.48685782556750296,0.4933829611248966,5862547,0.647598208,2,0.5128205128205128,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_fine_tuning_augFalse_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b0.in1k,fine_tuning,False,0.5128205128205128,0.4729491396158063,0.5017545017545018,5862547,0.647598208,6,0.6153846153846154,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b0.in1k_fine_tuning_augFalse_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,True,0.48717948717948717,0.382335148215366,0.44115594024849925,6863895,0.945371264,17,0.5384615384615384,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_scratch_augTrue_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,True,0.48717948717948717,0.3738095238095238,0.4313186813186813,6863895,0.945371264,24,0.5641025641025641,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_scratch_augTrue_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,True,0.48717948717948717,0.35009671179883944,0.4039577443832763,6863895,0.945371264,8,0.5384615384615384,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_scratch_augTrue_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,False,0.3333333333333333,0.2541161851506679,0.29321098286615527,6863895,0.945371264,8,0.5384615384615384,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_scratch_augFalse_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,False,0.5128205128205128,0.3855981416957026,0.44492093272581074,6863895,0.945371264,10,0.5897435897435898,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_scratch_augFalse_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b1.in1k,scratch,False,0.41025641025641024,0.334026334026334,0.3854150007996162,6863895,0.945371264,11,0.5641025641025641,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_scratch_augFalse_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,True,0.4358974358974359,0.4106873518638225,0.419571378847397,6863895,0.945371264,3,0.38461538461538464,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_feature_extraction_augTrue_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,True,0.38461538461538464,0.36575586575586577,0.374688720842567,6863895,0.945371264,15,0.5128205128205128,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_feature_extraction_augTrue_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,True,0.3076923076923077,0.20811287477954143,0.2401302401302401,6863895,0.945371264,1,0.41025641025641024,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_feature_extraction_augTrue_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,False,0.38461538461538464,0.3921957671957672,0.3841575091575092,6863895,0.945371264,16,0.4358974358974359,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_feature_extraction_augFalse_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,False,0.28205128205128205,0.2740740740740741,0.27521367521367524,6863895,0.945371264,14,0.5128205128205128,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_feature_extraction_augFalse_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b1.in1k,feature_extraction,False,0.3076923076923077,0.20811287477954143,0.2401302401302401,6863895,0.945371264,1,0.41025641025641024,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_feature_extraction_augFalse_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,True,0.5897435897435898,0.571975916803503,0.601364153088291,6863895,0.945371264,9,0.5128205128205128,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_fine_tuning_augTrue_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,True,0.46153846153846156,0.4524618736383443,0.4677727501256913,6863895,0.945371264,12,0.717948717948718,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_fine_tuning_augTrue_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,True,0.48717948717948717,0.46813725490196073,0.4824660633484163,6863895,0.945371264,4,0.5641025641025641,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_fine_tuning_augTrue_seed2025.pth
1,42,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,False,0.6410256410256411,0.6046398046398046,0.6266553958861651,6863895,0.945371264,3,0.48717948717948717,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_fine_tuning_augFalse_seed42.pth
2,123,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,False,0.41025641025641024,0.38611111111111107,0.40705128205128205,6863895,0.945371264,26,0.717948717948718,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_fine_tuning_augFalse_seed123.pth
3,2025,NDB-UFES,tf_efficientnetv2_b1.in1k,fine_tuning,False,0.3333333333333333,0.32129173508483855,0.341417203486169,6863895,0.945371264,5,0.6410256410256411,/kaggle/working/checkpoints/NDB-UFES_tf_efficientnetv2_b1.in1k_fine_tuning_augFalse_seed2025.pth
